aspect_0,aspect_1,aspect_10,aspect_11,aspect_2,aspect_3,aspect_4,aspect_5,aspect_6,aspect_7,aspect_8,aspect_9,meme_s3,opinion_0,opinion_1,opinion_10,opinion_11,opinion_2,opinion_3,opinion_4,opinion_5,opinion_6,opinion_7,opinion_8,opinion_9,sentiment_0,sentiment_1,sentiment_10,sentiment_11,sentiment_2,sentiment_3,sentiment_4,sentiment_5,sentiment_6,sentiment_7,sentiment_8,sentiment_9,source,source_0,source_1,source_10,source_11,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,target_0,target_1,target_10,target_11,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,viewpoint_0,viewpoint_1,viewpoint_10,viewpoint_11,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5,viewpoint_6,viewpoint_7,viewpoint_8,viewpoint_9
Aspect: social nature,Aspect: celebration,Aspect: ability to celebrate,Aspect: birthday celebration,Aspect: birthdays,Aspect: birthday celebration experience,Aspect: birthdays,Aspect: birthday celebrations,Aspect: solitude,Aspect: celebrations,Aspect: birthdays,Aspect: impact on birthday celebrations,https://memett-original.s3.amazonaws.com/covid_memes_1435.png,Opinion: nonexistent,Opinion: subdued and restricted,Opinion: limited,Opinion: ironic and humorous,Opinion: ordinary and unremarkable,Opinion: lonely and disappointing due to isolation measures,"Opinion: ordinary events during a challenging time, with a focus on humor about quarantine celebrations",Opinion: subdued and disappointing,Opinion: lonely,Opinion: disappointing,Opinion: ruined,Opinion: disruptive and limiting,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4005,4002,4008,4010,4006,4000,4009,4001,4007,4004,4003,4011,Target: quarantine birthday celebrations,Target: birthdays during the COVID-19 quarantine,Target: people celebrating birthdays during quarantine,Target: people born in March or April,Target: people born in March and April,Target: people celebrating birthdays during the March/April COVID-19 quarantine period,Target: people born in March/April,Target: people born in March/April during the early pandemic lockdowns,Target: celebrating one's birthday alone,Target: those celebrating birthdays in quarantine,Target: people born in March and April,Target: the quarantine period,Viewpoint: The meme views quarantine birthday celebrations with a negative sentiment because their social nature is seen as nonexistent.,Viewpoint: The meme views birthdays during the COVID-19 quarantine with a negative sentiment because their celebration is seen as subdued and restricted.,Viewpoint: The meme views people celebrating birthdays during quarantine with a negative sentiment because their ability to celebrate is seen as limited.,Viewpoint: The meme views people born in March or April with a neutral sentiment because their birthday celebration is seen as ironic and humorous.,Viewpoint: The meme views people born in March and April with a neutral sentiment because their birthdays are seen as ordinary and unremarkable.,Viewpoint: The meme views people celebrating birthdays during the March/April COVID-19 quarantine period with a negative sentiment because their birthday celebration experience is seen as lonely and disappointing due to isolation measures.,"Viewpoint: The meme views people born in March/April with a neutral sentiment because their birthdays are seen as ordinary events during a challenging time, with a focus on humor about quarantine celebrations.",Viewpoint: The meme views people born in March/April during the early pandemic lockdowns with a negative sentiment because their birthday celebrations are seen as subdued and disappointing.,Viewpoint: The meme views celebrating one's birthday alone with a negative sentiment because its aspect of solitude is seen as lonely.,Viewpoint: The meme views those celebrating birthdays in quarantine with a negative sentiment because their celebrations are seen as disappointing.,Viewpoint: The meme views people born in March and April with a negative sentiment because their birthdays are seen as ruined.,Viewpoint: The meme views the quarantine period with a negative sentiment because its impact on birthday celebrations is seen as disruptive and limiting.
Aspect: minimization of the pandemic's severity,Aspect: level of preparedness,Aspect: tendency to forget its impact,Aspect: overhype,Aspect: exaggerated claims,Aspect: overconfidence,Aspect: underestimation of its impact,Aspect: exaggeration,Aspect: behavior in response to trivial fears,Aspect: extremity during panic buying,Aspect: awareness,Aspect: understanding of the pandemic,https://memett-original.s3.amazonaws.com/covid_memes_1887.png,Opinion: ignorant,Opinion: disproportionate to the actual threat posed by the virus,Opinion: shortsighted,Opinion: exaggerated and similar to the fear of eating tofu,Opinion: misleading,Opinion: misguided,Opinion: misguided and ignorant,Opinion: humorous,Opinion: exaggerated and unnecessary,Opinion: humorous,Opinion: inaccurate,Opinion: foolish and short-sighted,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Harm-C,4002,4006,4003,4010,4011,4009,4007,4005,4008,4000,4004,4001,Target: future deniers of the coronavirus pandemic,Target: the public's reaction to the COVID-19 pandemic,Target: people's attitude toward the COVID-19 pandemic,Target: the COVID-19 pandemic,Target: the initial overhyping of the coronavirus,Target: the dismissive attitude toward the COVID-19 pandemic,Target: future public perception of the coronavirus,Target: panic-buying behavior during the pandemic,Target: people who overreact to trivial things like tofu,Target: the widespread aversion to tofu,Target: those who underestimate COVID-19,Target: people who downplayed the coronavirus pandemic,Viewpoint: The meme views future deniers of the coronavirus pandemic with a negative sentiment because their minimization of the pandemic's severity is seen as ignorant.,Viewpoint: The meme views the public's reaction to the COVID-19 pandemic with a negative sentiment because its level of preparedness is seen as disproportionate to the actual threat posed by the virus.,Viewpoint: The meme views people's attitude toward the COVID-19 pandemic with a negative sentiment because their tendency to forget its impact is seen as shortsighted.,Viewpoint: The meme views the COVID-19 pandemic with a negative sentiment because its overhype is seen as exaggerated and similar to the fear of eating tofu.,Viewpoint: The meme views the initial overhyping of the coronavirus with a negative sentiment because its exaggerated claims are seen as misleading.,Viewpoint: The meme views the dismissive attitude toward the COVID-19 pandemic with a negative sentiment because its overconfidence is seen as misguided.,Viewpoint: The meme views future public perception of the coronavirus with a negative sentiment because its underestimation of its impact is seen as misguided and ignorant.,Viewpoint: The meme views panic-buying behavior during the pandemic with a neutral sentiment because its exaggeration is seen as humorous.,Viewpoint: The meme views people who overreact to trivial things like tofu with a negative sentiment because their behavior in response to trivial fears is seen as exaggerated and unnecessary.,Viewpoint: The meme views the widespread aversion to tofu with a neutral sentiment because its extremity during panic buying is seen as humorous.,Viewpoint: The meme views those who underestimate COVID-19 with a negative sentiment because their awareness is seen as inaccurate.,Viewpoint: The meme views people who downplayed the coronavirus pandemic with a negative sentiment because their understanding of the pandemic is seen as foolish and short-sighted.
Aspect: overeating,Aspect: consequence,Aspect: perceived relevance,Aspect: habit,Aspect: approach,Aspect: humorous aspect,Aspect: being difficult to control,Aspect: thought process,Aspect: divine confirmation,Aspect: ubiquity in human concerns,Aspect: potential consequences,Aspect: indulgence,https://memett-original.s3.amazonaws.com/covid_memes_1899.png,Opinion: a concern that warrants divine intervention,Opinion: divinely discouraged,Opinion: humorous,Opinion: humorously exaggerated,Opinion: ridiculous,Opinion: amusing,Opinion: problematic,Opinion: concerned about its eating habits,Opinion: comically blunt and fitting,Opinion: amusingly relatable,Opinion: undesirable and requiring divine intervention to address,Opinion: excessive,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Harm-C,4006,4002,4005,4008,4003,4009,4007,4010,4000,4004,4001,4011,Target: the person's eating habits,Target: overeating,Target: the concept of seeking divine signs,Target: overeating,Target: the practice of seeking signs from a higher power for personal issues,Target: overeating,Target: overeating,Target: the cloud formation,Target: the person's implied overeating,Target: the tendency to seek divine signs for personal validation,Target: the act of overeating,Target: eating habits,Viewpoint: The meme views the person's eating habits with a negative sentiment because their overeating is seen as a concern that warrants divine intervention.,Viewpoint: The meme views overeating with a negative sentiment because its consequence is seen as divinely discouraged.,Viewpoint: The meme views the concept of seeking divine signs with a neutral sentiment because its perceived relevance is seen as humorous.,Viewpoint: The meme views overeating with a neutral sentiment because its habit is seen as humorously exaggerated.,Viewpoint: The meme views the practice of seeking signs from a higher power for personal issues with a negative sentiment because its approach is seen as ridiculous.,Viewpoint: The meme views overeating with a neutral sentiment because its humorous aspect is seen as amusing.,Viewpoint: The meme views overeating with a negative sentiment because its aspect of being difficult to control is seen as problematic.,Viewpoint: The meme views the cloud formation with a neutral sentiment because its thought process is seen as concerned about its eating habits.,Viewpoint: The meme views the person's implied overeating with a negative sentiment because its divine confirmation is seen as comically blunt and fitting.,Viewpoint: The meme views the tendency to seek divine signs for personal validation with a neutral sentiment because its ubiquity in human concerns is seen as amusingly relatable.,Viewpoint: The meme views the act of overeating with a negative sentiment because its potential consequences are seen as undesirable and requiring divine intervention to address.,Viewpoint: The meme views eating habits with a negative sentiment because its indulgence is seen as excessive.
Aspect: containment,Aspect: mythical toughness,Aspect: strength and toughness,Aspect: encounter with Chuck Norris,Aspect: toughness,Aspect: tough persona,Aspect: impact,Aspect: ability to intimidate the coronavirus,Aspect: toughness,Aspect: toughness,Aspect: threat,Aspect: exposure to the coronavirus,https://memett-original.s3.amazonaws.com/covid_memes_3408.png,Opinion: difficult and requiring extreme measures,Opinion: so extreme that even the Coronavirus is threatened by him,Opinion: invincible and overpowering,Opinion: a sign of its weakness and vulnerability,Opinion: extraordinarily invincible,"Opinion: overwhelmingly powerful and intimidating, even to the coronavirus",Opinion: serious and global,Opinion: extraordinary,Opinion: unbelievably powerful,Opinion: exaggerated and unexpected in the context of quarantine,Opinion: neutralized,"Opinion: a normal occurrence, humorously exaggerated to suggest the virus's reaction to quarantine",Sentiment: negative,Sentiment: positive,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: positive,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Harm-C,4006,4000,4008,4001,4005,4007,4010,4003,4002,4011,4004,4009,Target: the coronavirus,Target: Chuck Norris,Target: Chuck Norris,Target: the coronavirus,Target: Chuck Norris,Target: Chuck Norris,Target: the coronavirus,Target: Chuck Norris,Target: Chuck Norris,Target: Chuck Norris,Target: the coronavirus,Target: Chuck Norris,Viewpoint: The meme views the coronavirus with a negative sentiment because its containment is seen as difficult and requiring extreme measures.,Viewpoint: The meme views Chuck Norris with a positive sentiment because his mythical toughness is seen as so extreme that even the Coronavirus is threatened by him.,Viewpoint: The meme views Chuck Norris with a positive sentiment because his strength and toughness is/are seen as invincible and overpowering.,Viewpoint: The meme views the coronavirus with a negative sentiment because its encounter with Chuck Norris is seen as a sign of its weakness and vulnerability.,Viewpoint: The meme views Chuck Norris with a positive sentiment because his toughness is seen as extraordinarily invincible.,"Viewpoint: The meme views Chuck Norris with a negative sentiment because his tough persona is seen as overwhelmingly powerful and intimidating, even to the coronavirus.",Viewpoint: The meme views the coronavirus with a negative sentiment because its impact is seen as serious and global.,Viewpoint: The meme views Chuck Norris with a positive sentiment because his ability to intimidate the coronavirus is seen as extraordinary.,Viewpoint: The meme views Chuck Norris with a positive sentiment because his toughness is seen as unbelievably powerful.,Viewpoint: The meme views Chuck Norris with a negative sentiment because his toughness is seen as exaggerated and unexpected in the context of quarantine.,Viewpoint: The meme views the coronavirus with a negative sentiment because its threat is seen as neutralized.,"Viewpoint: The meme views Chuck Norris with a neutral sentiment because his exposure to the coronavirus is seen as a normal occurrence, humorously exaggerated to suggest the virus's reaction to quarantine."
Aspect: expression,Aspect: execution,"Aspect: eagerness to ""strike""",Aspect: teaching methods,Aspect: involvement in labor actions,Aspect: severity,Aspect: inaction,Aspect: seriousness,Aspect: role as a leader or planner,Aspect: actions,Aspect: enforcement of these rules,Aspect: professional role,https://memett-original.s3.amazonaws.com/covid_memes_5014.png,Opinion: a prompt for action,Opinion: imminent,Opinion: characteristic of her established role within the show's narrative,Opinion: easily replicable,Opinion: exaggerated and humorous,Opinion: ridiculously exaggerated,Opinion: frustrating,Opinion: exaggerated,Opinion: hesitant,Opinion: unresponsive and unhelpful,Opinion: hypocritical and encouraging of copying,Opinion: unexpectedly associated with labor action,Sentiment: neutral,Sentiment: positive,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Harm-C,4004,4002,4000,4007,4011,4005,4003,4009,4001,4010,4006,4008,Target: Alba Flores,Target: planned real-world actions,Target: Nairobi (character from Money Heist),Target: the professor,Target: professors,Target: academic dishonesty,Target: professors,"Target: the ""professor""",Target: the professor figure,Target: the professor,Target: professors who enforce strict rules against copying,Target: professors,Viewpoint: The meme views Alba Flores with a neutral sentiment because her expression is seen as a prompt for action.,Viewpoint: The meme views planned real-world actions with a positive sentiment because their execution is seen as imminent.,"Viewpoint: The meme views Nairobi (character from Money Heist) with a neutral sentiment because her eagerness to ""strike"" is seen as characteristic of her established role within the show's narrative.",Viewpoint: The meme views the professor with a negative sentiment because his teaching methods are seen as easily replicable.,Viewpoint: The meme views professors with a negative sentiment because their involvement in labor actions is seen as exaggerated and humorous.,Viewpoint: The meme views academic dishonesty with a negative sentiment because its severity is seen as ridiculously exaggerated.,Viewpoint: The meme views professors with a negative sentiment because their inaction is seen as frustrating.,"Viewpoint: The meme views the ""professor"" with a negative sentiment because their seriousness is seen as exaggerated.",Viewpoint: The meme views the professor figure with a negative sentiment because their role as a leader or planner is seen as hesitant.,Viewpoint: The meme views the professor with a negative sentiment because their actions are seen as unresponsive and unhelpful.,Viewpoint: The meme views professors who enforce strict rules against copying with a negative sentiment because their enforcement of these rules is seen as hypocritical and encouraging of copying.,Viewpoint: The meme views professors with a neutral sentiment because their professional role is seen as unexpectedly associated with labor action.
Aspect: unpredictability,Aspect: reaction to the real-world events mirroring his game,Aspect: origin and spread,Aspect: reaction to the game's progression,Aspect: sudden and unexpected nature,Aspect: role in the game,Aspect: attribution of blame to specific individuals or groups,Aspect: involvement in the game Plague Inc.,Aspect: plausibility,Aspect: reckless behavior,Aspect: unexpected and ironic resemblance,Aspect: alleged activities,https://memett-original.s3.amazonaws.com/covid_memes_812.png,Opinion: alarming and surprising,Opinion: awkwardly coincidental,Opinion: exaggerated and absurd,Opinion: humorously ironic,Opinion: alarming,Opinion: absurd and humorous,Opinion: absurd and unfounded,Opinion: irresponsible,Opinion: absurd,Opinion: irresponsible,Opinion: darkly humorous,Opinion: potentially catastrophic and world-threatening,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Harm-C,4006,4000,4009,4003,4007,4010,4008,4011,4005,4004,4001,4002,"Target: the spread of diseases in the game ""Plague Inc.""",Target: the hypothetical Area 51 employee playing Plague Inc. during a real pandemic,Target: the rapid spread of the COVID-19 pandemic from China to the US,Target: the gamer at Area 51,Target: the outbreak of the plague,Target: the monkey character,Target: conspiracy theories about the origin and spread of plagues,Target: the character at Area 51,Target: conspiracy theories,Target: the person at Area 51,Target: real-world pandemics mirroring the game Plague Inc.,Target: Area 51,"Viewpoint: The meme views the spread of diseases in the game ""Plague Inc."" with a negative sentiment because its unpredictability is seen as alarming and surprising.",Viewpoint: The meme views the hypothetical Area 51 employee playing Plague Inc. during a real pandemic with a neutral sentiment because his reaction to the real-world events mirroring his game is seen as awkwardly coincidental.,Viewpoint: The meme views the rapid spread of the COVID-19 pandemic from China to the US with a neutral sentiment because its origin and spread are seen as exaggerated and absurd.,Viewpoint: The meme views the gamer at Area 51 with a neutral sentiment because their reaction to the game's progression is seen as humorously ironic.,Viewpoint: The meme views the outbreak of the plague with a negative sentiment because its sudden and unexpected nature is seen as alarming.,Viewpoint: The meme views the monkey character with a neutral sentiment because its role in the game is seen as absurd and humorous.,Viewpoint: The meme views conspiracy theories about the origin and spread of plagues with a negative sentiment because their attribution of blame to specific individuals or groups is seen as absurd and unfounded.,Viewpoint: The meme views the character at Area 51 with a negative sentiment because its/his/her/their involvement in the game Plague Inc. is seen as irresponsible.,Viewpoint: The meme views conspiracy theories with a negative sentiment because their plausibility is seen as absurd.,Viewpoint: The meme views the person at Area 51 with a negative sentiment because their reckless behavior is seen as irresponsible.,Viewpoint: The meme views real-world pandemics mirroring the game Plague Inc. with a neutral sentiment because their unexpected and ironic resemblance is seen as darkly humorous.,Viewpoint: The meme views Area 51 with a negative sentiment because its alleged activities are seen as potentially catastrophic and world-threatening.
Aspect: reaction to the year 2020,Aspect: impact on people's lives,Aspect: events,Aspect: events,Aspect: overall experience,Aspect: events,Aspect: challenges and difficulties,Aspect: responses,Aspect: general experience,Aspect: challenges,Aspect: impact on people's lives,Aspect: overall experience for people worldwide,https://memett-original.s3.amazonaws.com/covid_memes_1794.png,Opinion: exaggerated and shocked,Opinion: adversely significant,Opinion: overwhelmingly stressful,Opinion: overwhelming and exhausting,Opinion: disastrous,Opinion: collectively challenging and difficult,Opinion: overwhelming and distressing,Opinion: varied and relatable,Opinion: chaotic and distressing,Opinion: overwhelming,Opinion: chaotic and overwhelming,Opinion: overwhelmingly stressful and chaotic,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Harm-C,4011,4004,4002,4010,4003,4006,4007,4005,4001,4009,4008,4000,Target: the collective experience of people worldwide,Target: the year 2020,Target: the year 2020,Target: the year 2020,Target: the year 2020,Target: the year 2020,Target: the year 2020,Target: people's coping mechanisms during the year 2020,Target: 2020,Target: the year 2020,Target: the year 2020,Target: the year 2020,Viewpoint: The meme views the collective experience of people worldwide with a negative sentiment because its/his/her/their reaction to the year 2020 is seen as exaggerated and shocked.,Viewpoint: The meme views the year 2020 with a negative sentiment because its impact on people's lives is seen as adversely significant.,Viewpoint: The meme views the year 2020 with a negative sentiment because its events are seen as overwhelmingly stressful.,Viewpoint: The meme views the year 2020 with a negative sentiment because its events are seen as overwhelming and exhausting.,Viewpoint: The meme views the year 2020 with a negative sentiment because its overall experience is seen as disastrous.,Viewpoint: The meme views the year 2020 with a negative sentiment because its events are seen as collectively challenging and difficult.,Viewpoint: The meme views the year 2020 with a negative sentiment because its challenges and difficulties are seen as overwhelming and distressing.,Viewpoint: The meme views people's coping mechanisms during the year 2020 with a neutral sentiment because their responses are seen as varied and relatable.,Viewpoint: The meme views 2020 with a negative sentiment because its general experience is seen as chaotic and distressing.,Viewpoint: The meme views the year 2020 with a neutral sentiment because its challenges are seen as overwhelming.,Viewpoint: The meme views the year 2020 with a negative sentiment because its impact on people's lives is seen as chaotic and overwhelming.,Viewpoint: The meme views the year 2020 with a negative sentiment because its overall experience for people worldwide is seen as overwhelmingly stressful and chaotic.
Aspect: actions,Aspect: effect on people's behavior,Aspect: protective measures,Aspect: precautionary actions,Aspect: function,Aspect: extreme protective measures,Aspect: extent of protective measures,Aspect: caution,Aspect: responses,Aspect: implementation,Aspect: precautionary measures,Aspect: level of preparedness,https://memett-original.s3.amazonaws.com/covid_memes_3816.png,Opinion: unnecessary and comical,Opinion: potentially leading to irrational actions,Opinion: exaggerated,Opinion: excessive and unnecessary,Opinion: ambiguous,Opinion: absurd and excessive,Opinion: excessive and unnecessary,Opinion: excessive,Opinion: absurdly exaggerated,Opinion: excessively fearful,Opinion: overly excessive,Opinion: excessively paranoid,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4010,4000,4007,4011,4009,4001,4008,4003,4005,4002,4004,4006,Target: the person's protective measures,Target: uncertainty about COVID-19,Target: people's extreme reactions to COVID-19 uncertainty,Target: COVID-19 measures,Target: the COVID-19 protective suit,Target: people's reactions to COVID-19,Target: public reactions to COVID-19,Target: people's reactions to COVID-19,Target: overreactions to COVID-19,Target: COVID-19 precautions,Target: people,Target: the public's response to the COVID-19 pandemic,Viewpoint: The meme views the person's protective measures with a negative sentiment because their actions are seen as unnecessary and comical.,Viewpoint: The meme views uncertainty about COVID-19 with a negative sentiment because its effect on people's behavior is seen as potentially leading to irrational actions.,Viewpoint: The meme views people's extreme reactions to COVID-19 uncertainty with a negative sentiment because their protective measures are seen as exaggerated.,Viewpoint: The meme views COVID-19 measures with a negative sentiment because its/his/her/their precautionary actions are seen as excessive and unnecessary.,Viewpoint: The meme views the COVID-19 protective suit with a neutral sentiment because its function is seen as ambiguous.,Viewpoint: The meme views people's reactions to COVID-19 with a negative sentiment because their extreme protective measures are seen as absurd and excessive.,Viewpoint: The meme views public reactions to COVID-19 with a negative sentiment because their extent of protective measures is seen as excessive and unnecessary.,Viewpoint: The meme views people's reactions to COVID-19 with a negative sentiment because their caution is seen as excessive.,Viewpoint: The meme views overreactions to COVID-19 with a negative sentiment because their responses are seen as absurdly exaggerated.,Viewpoint: The meme views COVID-19 precautions with a negative sentiment because their implementation is seen as excessively fearful.,Viewpoint: The meme views people with a negative sentiment because their precautionary measures are seen as overly excessive.,Viewpoint: The meme views the public's response to the COVID-19 pandemic with a negative sentiment because its level of preparedness is seen as excessively paranoid.
Aspect: prevalence,Aspect: appeal,Aspect: role in facilitating the overproduction of COVID-19 memes,Aspect: persistence in making COVID-19 memes,Aspect: proliferation and repetitiveness,Aspect: prevalence,Aspect: repetitive nature,Aspect: prevalence,Aspect: creation,Aspect: unwillingness to stop,Aspect: structured approach,Aspect: ubiquity,https://memett-original.s3.amazonaws.com/covid_memes_3676.png,Opinion: tiresome and overdone,Opinion: so strong that creators would rather accept a penalty than stop,Opinion: contributory to meme fatigue,Opinion: tiresome,Opinion: overwhelming and tiresome,Opinion: excessive and annoying,Opinion: burdensome,Opinion: excessive,Opinion: annoying or disruptive,Opinion: unwavering,Opinion: exaggerated,Opinion: tiresome and unoriginal,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Harm-C,4002,4000,4003,4004,4008,4006,4010,4009,4011,4001,4007,4005,Target: COVID-19 memes,Target: making COVID-19 memes,Target: Imgflip (as a symbol of meme generation platforms),Target: COVID-19 meme creators,Target: COVID-19 memes,Target: the act of making COVID-19 memes,Target: the overuse of COVID-19 memes,Target: the act of making COVID-19 memes,Target: COVID-19 memes,Target: meme creators' persistence in making covid 19 memes,Target: the process of creating COVID-19 memes,Target: COVID-19 memes,Viewpoint: The meme views COVID-19 memes with a negative sentiment because their prevalence is seen as tiresome and overdone.,Viewpoint: The meme views making COVID-19 memes with a positive sentiment because its/his/her/their appeal is seen as so strong that creators would rather accept a penalty than stop.,Viewpoint: The meme views Imgflip (as a symbol of meme generation platforms) with a negative sentiment because its role in facilitating the overproduction of COVID-19 memes is seen as contributory to meme fatigue.,Viewpoint: The meme views COVID-19 meme creators with a negative sentiment because their persistence in making COVID-19 memes is seen as tiresome.,Viewpoint: The meme views COVID-19 memes with a negative sentiment because their proliferation and repetitiveness is seen as overwhelming and tiresome.,Viewpoint: The meme views the act of making COVID-19 memes with a negative sentiment because its prevalence is seen as excessive and annoying.,Viewpoint: The meme views the overuse of COVID-19 memes with a negative sentiment because its repetitive nature is seen as burdensome.,Viewpoint: The meme views the act of making COVID-19 memes with a negative sentiment because its prevalence is seen as excessive.,Viewpoint: The meme views COVID-19 memes with a negative sentiment because their creation is seen as annoying or disruptive.,Viewpoint: The meme views meme creators' persistence in making covid 19 memes with a neutral sentiment because their unwillingness to stop is seen as unwavering.,Viewpoint: The meme views the process of creating COVID-19 memes with a negative sentiment because its structured approach is seen as exaggerated.,Viewpoint: The meme views COVID-19 memes with a negative sentiment because their ubiquity is seen as tiresome and unoriginal.
Aspect: prioritization,Aspect: emphasis,Aspect: juxtaposition,Aspect: adaptation method,Aspect: prioritization of sensationalism,Aspect: sensationalism aspect,Aspect: media coverage,Aspect: seriousness,Aspect: necessity,Aspect: coverage of global issues,Aspect: situation,Aspect: continued focus on personal events like virtual prom,https://memett-original.s3.amazonaws.com/covid_memes_1442.png,Opinion: insensitive,Opinion: exaggerated and overwhelming,Opinion: ironic,Opinion: coping-oriented,Opinion: disproportionate to the triviality of other events,Opinion: alarmist,Opinion: overwhelming and trivialized,Opinion: overwhelming and absurd,Opinion: a relatable adaptation to pandemic conditions,Opinion: exaggerated and sensationalist,Opinion: disappointing and awkward due to pandemic disruptions,Opinion: understandable but juxtaposed against global issues,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Harm-C,4003,4009,4007,4002,4006,4004,4011,4010,4005,4008,4000,4001,Target: the media's focus on global crises,Target: the media's focus on crises,Target: the contrast between serious global events and the lighter situation of seniors attending a virtual prom,Target: virtual prom,Target: the media's coverage of serious events,Target: the media,Target: global events,"Target: global events (coronavirus, stock market crash, oil war)",Target: virtual prom,Target: the media,Target: high school seniors participating in virtual proms,Target: individuals' responses to crises,Viewpoint: The meme views the media's focus on global crises with a negative sentiment because its prioritization is seen as insensitive.,Viewpoint: The meme views the media's focus on crises with a negative sentiment because its emphasis is seen as exaggerated and overwhelming.,Viewpoint: The meme views the contrast between serious global events and the lighter situation of seniors attending a virtual prom with a negative sentiment because its/his/her/their juxtaposition is seen as ironic.,Viewpoint: The meme views virtual prom with a neutral sentiment because its adaptation method is seen as coping-oriented.,Viewpoint: The meme views the media's coverage of serious events with a negative sentiment because its prioritization of sensationalism is seen as disproportionate to the triviality of other events.,Viewpoint: The meme views the media with a negative sentiment because its sensationalism aspect is seen as alarmist.,Viewpoint: The meme views global events with a negative sentiment because their media coverage is seen as overwhelming and trivialized.,"Viewpoint: The meme views global events (coronavirus, stock market crash, oil war) with a negative sentiment because their seriousness is seen as overwhelming and absurd.",Viewpoint: The meme views virtual prom with a neutral sentiment because its necessity is seen as a relatable adaptation to pandemic conditions.,Viewpoint: The meme views the media with a negative sentiment because its coverage of global issues is seen as exaggerated and sensationalist.,Viewpoint: The meme views high school seniors participating in virtual proms with a negative sentiment because their situation is seen as disappointing and awkward due to pandemic disruptions.,Viewpoint: The meme views individuals' responses to crises with a neutral sentiment because their continued focus on personal events like virtual prom is seen as understandable but juxtaposed against global issues.
